# time,BOT[0].botPosition[1]
3830.429992158331,5
3830.429992158331,5
3835.303552549114,3
3835.303552549114,3
4580.967022517174,3
4585.848706310133,0
4585.848706310133,0
4596.967022517516,0
4601.845511015017,3
4601.845511015017,3
4606.725511015122,4
4606.725511015122,4
4611.605511015226,7
4611.605511015226,7
4616.48551101533,9
4616.48551101533,9
4621.367022518038,12
4621.367022518038,12
4626.245511015539,14
4626.245511015539,14
4654.967022518756,14
4659.845511016257,12
4659.845511016257,12
4684.967022519407,12
4689.849371454689,9
4689.849371454689,9
4694.729371454796,7
4694.729371454796,7
4699.607022519726,4
4699.607022519726,4
4704.489371455009,3
4704.489371455009,3
5540.072988654735,3
5544.95298865484,0
5544.95298865484,0
5560.072988655163,0
5564.952988655267,3
5564.952988655267,3
5582.072988655633,3
5586.952988655737,6
5586.952988655737,6
5591.830060963497,8
5591.830060963497,8
5596.704260412394,11
5596.704260412394,11
5601.580060963708,13
5601.580060963708,13
5606.452988656159,14
5606.452988656159,14
5628.072988656631,14
5632.954260413186,12
5632.954260413186,12
5654.072988657198,12
5658.954260413753,9
5658.954260413753,9
5663.83426041386,7
5663.83426041386,7
5668.714260413966,4
5668.714260413966,4
5673.594136424555,3
5673.594136424555,3
5763.106628161161,3
5767.981760030741,0
5767.981760030741,0
5799.106628161931,0
5803.981760031511,3
5803.981760031511,3
5808.864489633509,5
5808.864489633509,5
5813.741760031719,7
5813.741760031719,7
5818.624489633718,9
5818.624489633718,9
5823.506628162452,12
5823.506628162452,12
5828.384489633926,14
5828.384489633926,14
5838.539779297654,14
5843.41977929776,12
5843.41977929776,12
5848.539779297872,12
5853.419779297978,9
5853.419779297978,9
5858.294489634575,7
5858.294489634575,7
5863.169779298191,5
5863.169779298191,5
5868.044489634788,3
5868.044489634788,3
6069.791558463075,3
6074.667655293106,0
6074.667655293106,0
6109.791558463949,0
6114.667655293979,3
6114.667655293979,3
6119.547655294085,5
6119.547655294085,5
6124.427655294192,7
6124.427655294192,7
6129.307655294298,9
6129.307655294298,9
6134.181558464481,12
6134.181558464481,12
6139.061558464588,14
6139.061558464588,14
6143.941558464694,13
6143.941558464694,13
6148.821558464801,12
6148.821558464801,12
6153.699675858975,10
6153.699675858975,10
6158.581558465014,7
6158.581558465014,7
6163.459675859188,6
6163.459675859188,6
6168.341558465227,3
6168.341558465227,3
7926.836604911249,3
7931.718747407257,0
7931.718747407257,0
7938.836604911511,0
7943.718747407519,3
7943.718747407519,3
7948.598747407626,4
7948.598747407626,4
7953.478747407732,7
7953.478747407732,7
7958.358747407839,9
7958.358747407839,9
7963.236604912044,12
7963.236604912044,12
7968.118747408052,14
7968.118747408052,14
8004.717775758737,14
8009.597775758843,12
8009.597775758843,12
8038.717775759479,12
8043.595077815845,9
8043.595077815845,9
8048.475077815951,7
8048.475077815951,7
8053.355077816058,4
8053.355077816058,4
8058.235077816164,3
8058.235077816164,3
8474.134930166449,3
8479.014930166551,0
8479.014930166551,0
8510.134930167202,0
8515.014930167305,3
8515.014930167305,3
8519.891398953027,4
8519.891398953027,4
8524.764930167508,7
8524.764930167508,7
8529.644930167611,9
8529.644930167611,9
8534.524930167712,12
8534.524930167712,12
8539.404930167817,14
8539.404930167817,14
8551.157119957938,14
8556.031055215193,12
8556.031055215193,12
8561.157119958156,12
